order_id,customer_id,product_id,order_date,delivery_delay,discount_pct,is_holiday_season,return_probability,is_returned,persona,base_return_rate,customer_tenure_days,avg_order_value,price,rating,category
ORD1,C81,P8,2023-06-10,0,0,0,0.3781379875037963,0,Impulse Buyer,0.2338985493372185,95,1916,191,2.108531332137048,Apparel
ORD2,C479,P30,2023-05-02,0,30,0,0.14768394039938,0,Bargain Hunter,0.2654370473423496,229,495,396,4.061663079654576,Home
ORD3,C394,P19,2023-11-07,0,0,1,0.2767464461403757,0,Impulse Buyer,0.2131252289148026,32,2226,474,3.749824351318881,Beauty
ORD4,C267,P12,2023-10-30,2,0,0,0.222625426768733,0,Impulse Buyer,0.2829009168407255,75,1725,1756,4.67972260573344,Electronics
ORD5,C188,P33,2023-05-28,0,20,0,0.2726476842615009,0,Bargain Hunter,0.3460065150570954,214,102,1055,4.600713015644724,Electronics
ORD6,C242,P20,2023-03-20,0,50,0,0.2131162092362134,0,Bargain Hunter,0.3299149146549137,318,499,152,3.822344635799018,Beauty
ORD7,C255,P30,2023-05-03,0,0,0,0.0,0,Loyal,0.0304615884726988,1179,222,396,4.061663079654576,Home
ORD8,C210,P44,2023-07-12,5,20,0,0.115140318872914,0,Bargain Hunter,0.2496884397858114,237,160,288,4.059042282133031,Beauty
ORD9,C281,P32,2023-07-01,0,0,0,0.0,0,Loyal,0.0603676298177396,1289,1030,278,4.226683707271579,Home
ORD10,C472,P27,2023-03-13,1,5,0,0.0,0,Loyal,0.0281668106910653,1396,574,87,3.8108470428218526,Footwear
ORD11,C459,P38,2023-07-02,0,50,0,0.5875546181951459,1,Bargain Hunter,0.1997428545175259,10,220,135,2.150355856501963,Apparel
ORD12,C22,P18,2023-06-01,0,0,0,0.0,0,Loyal,0.0968729776537724,744,387,127,4.156992693858071,Apparel
ORD13,C211,P32,2023-01-29,2,0,0,0.2740102125076332,0,Impulse Buyer,0.3473644950789826,8,722,278,4.226683707271579,Home
ORD14,C462,P4,2023-08-03,0,70,0,0.4013229895237491,0,Bargain Hunter,0.3063580659690058,53,169,96,3.0338727538133785,Apparel
ORD15,C304,P2,2023-12-12,0,0,1,0.4559812959308817,0,Impulse Buyer,0.3366367712890963,18,2985,155,2.778269247890009,Footwear
ORD16,C406,P47,2023-07-10,2,50,0,0.1030161704436292,0,Bargain Hunter,0.1682328980812383,88,57,93,4.373019963203864,Beauty
ORD17,C53,P9,2023-02-03,0,10,0,0.2854513771036395,0,Impulse Buyer,0.3632863746438768,97,2291,2706,4.902806684413314,Electronics
ORD18,C361,P33,2023-06-30,2,10,0,0.1503180461911828,0,Impulse Buyer,0.2792484037805318,82,2837,1055,4.600713015644724,Electronics
ORD19,C268,P33,2023-06-21,2,0,0,0.0,0,Loyal,0.0411711394929365,839,1433,1055,4.600713015644724,Electronics
ORD20,C444,P42,2023-07-29,0,0,0,0.0,0,Loyal,0.0752731894373622,942,1735,74,3.890408322238115,Apparel
ORD21,C92,P23,2023-02-07,0,10,0,0.0,0,Loyal,0.0631749934512109,669,1565,1443,3.2728795051134663,Electronics
ORD22,C12,P5,2023-12-22,0,0,1,0.0,0,Loyal,0.0827557613304815,929,976,282,3.7027946349124568,Apparel
ORD23,C176,P46,2023-01-09,1,5,0,0.0,0,Loyal,0.0422346446229556,518,1295,330,4.67884661212699,Home
ORD24,C171,P9,2023-11-26,0,0,1,0.0,0,Loyal,0.072254295745202,1135,908,2706,4.902806684413314,Electronics
ORD25,C214,P2,2023-08-30,0,50,0,0.1705365833394607,0,Bargain Hunter,0.2160696962561827,298,426,155,2.778269247890009,Footwear
ORD26,C92,P5,2023-01-14,0,0,0,0.0,0,Loyal,0.0631749934512109,669,1565,282,3.7027946349124568,Apparel
ORD27,C225,P40,2023-03-14,0,20,0,0.1269773676720477,0,Bargain Hunter,0.2559680046362233,99,50,486,4.4660068471489325,Beauty
ORD28,C484,P44,2023-08-28,0,70,0,0.081124482114315,0,Bargain Hunter,0.2134391433530797,340,414,288,4.059042282133031,Beauty
ORD29,C364,P44,2023-05-25,0,70,0,0.2182320097845719,0,Bargain Hunter,0.3289842882455679,107,406,288,4.059042282133031,Beauty
ORD30,C11,P10,2023-09-14,1,50,0,0.1427249011833514,0,Bargain Hunter,0.2400998503939085,98,323,223,4.330953996772406,Beauty
ORD31,C263,P36,2023-04-20,0,5,0,0.0,0,Loyal,0.0267688791544708,1189,1182,67,3.966202678281477,Beauty
ORD32,C239,P45,2023-08-22,1,20,0,0.1426301320451946,0,Bargain Hunter,0.2865964126834265,304,377,477,4.7978013550940135,Beauty
ORD33,C395,P48,2023-09-20,0,0,0,0.1990449857783584,0,Impulse Buyer,0.2505017499376765,26,2106,555,4.510540840993616,Electronics
ORD34,C21,P22,2023-01-02,0,50,0,0.0941693481046214,0,Bargain Hunter,0.2042698063547791,289,102,450,4.195473602402838,Beauty
ORD35,C217,P46,2023-11-20,5,0,1,0.0,0,Loyal,0.0825278398067029,1187,1887,330,4.67884661212699,Home
ORD36,C337,P46,2023-02-13,0,0,0,0.0,0,Loyal,0.0752290094375885,403,563,330,4.67884661212699,Home
ORD37,C384,P8,2023-10-25,0,30,0,0.355144858542075,0,Bargain Hunter,0.2733853836751484,242,162,191,2.108531332137048,Apparel
ORD38,C126,P42,2023-04-10,0,70,0,0.4091600754307265,0,Bargain Hunter,0.3052825921483993,160,201,74,3.890408322238115,Apparel
